"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"Through Hole Items ",
"J1","M3_Screwhole","4.0mm","16.0mm","4.0mm","16.0mm","6.05681mm","17.1875mm","T","0","Conn_01x01",
"J2","M3_Screwhole","54.0mm","16.0mm","54.0mm","16.0mm","56.05681mm","17.1875mm","T","0","Conn_01x01",
"J3","N-KY_PCB_EDGE_MOUNT_SMA-KWE","41.5mm","0.5mm","41.5mm","0.5mm","41.5mm","3.28mm","T","90","RF out",
"J4","N-KY_PCB_EDGE_MOUNT_SMA-KWE","15.5mm","0.5mm","15.5mm","0.5mm","15.5mm","3.28mm","T","90","RF in",
"R1","TO-220-2_External_Thermal_Mount_Short","11.0mm","18.0mm","11.0mm","18.0mm","11.0mm","18.0mm","T","0","100 50W",
"R2","TO-220-2_External_Thermal_Mount_Short","26.0mm","18.0mm","26.0mm","18.0mm","26.0mm","18.0mm","T","0","75 30W",
"R3","TO-220-2_External_Thermal_Mount_Short","41.0mm","18.0mm","41.0mm","18.0mm","41.0mm","18.0mm","T","0","100 30W",
