"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C61","C_1812_HandSoldering","136.75mm","31.75mm","136.75mm","31.75mm","138.80061mm","33.80061mm","B","225","68pF 3KV",
"C62","C_1812_HandSoldering","133.25mm","110.75mm","133.25mm","110.75mm","131.19939mm","108.69939mm","B","45","180pF 2KV",
"C63","C_1812_HandSoldering","152.188077mm","106.746952mm","152.188077mm","106.746952mm","154.238687mm","108.797562mm","B","225","100pF 2KV",
"C64","C_1812_HandSoldering","144.625631mm","99.43934mm","144.625631mm","99.43934mm","142.575021mm","97.38873mm","B","45","100pF 2KV",
"C64","C_1812_HandSoldering","140.874369mm","118.06066mm","140.874369mm","118.06066mm","142.924979mm","120.11127mm","B","225","100pF 2KV",
"C65","C_1812_HandSoldering","141.797204mm","102.267767mm","141.797204mm","102.267767mm","139.746594mm","100.217157mm","B","45","100pF 2KV",
"C65","C_1812_HandSoldering","143.702796mm","115.232233mm","143.702796mm","115.232233mm","145.753406mm","117.282843mm","B","225","100pF 2KV",
"C66","C_1812_HandSoldering","136.14035mm","107.924621mm","136.14035mm","107.924621mm","134.08974mm","105.874011mm","B","45","100pF 2KV",
"C66","C_1812_HandSoldering","149.35965mm","109.575379mm","149.35965mm","109.575379mm","151.41026mm","111.625989mm","B","225","100pF 2KV",
"C67","C_1812_HandSoldering","138.968777mm","105.096194mm","138.968777mm","105.096194mm","136.918167mm","103.045584mm","B","45","100pF 2KV",
"C67","C_1812_HandSoldering","146.531223mm","112.403806mm","146.531223mm","112.403806mm","148.581833mm","114.454416mm","B","225","100pF 2KV",
"C68","C_1812_HandSoldering","166.119165mm","82.38998mm","166.119165mm","82.38998mm","168.169775mm","80.33937mm","B","135","330pF 2KV",
"C68","C_1812_HandSoldering","147.380835mm","78.61002mm","147.380835mm","78.61002mm","145.330225mm","80.66063mm","B","315","330pF 2KV",
"C69","C_1812_HandSoldering","163.290738mm","79.561553mm","163.290738mm","79.561553mm","165.341348mm","77.510943mm","B","135","330pF 2KV",
"C69","C_1812_HandSoldering","150.209262mm","81.438447mm","150.209262mm","81.438447mm","148.158652mm","83.489057mm","B","315","330pF 2KV",
"C7","C_1812_HandSoldering","19.022971mm","106.891243mm","19.022971mm","106.891243mm","21.073581mm","108.941853mm","B","225","10pF 3KV",
"C70","C_1812_HandSoldering","160.462311mm","76.733126mm","160.462311mm","76.733126mm","162.512921mm","74.682516mm","B","135","330pF 2KV",
"C70","C_1812_HandSoldering","153.037689mm","84.266874mm","153.037689mm","84.266874mm","150.987079mm","86.317484mm","B","315","330pF 2KV",
"C71","C_1812_HandSoldering","157.633883mm","73.904699mm","157.633883mm","73.904699mm","159.684493mm","71.854089mm","B","135","180pF 2KV",
"C71","C_1812_HandSoldering","155.866117mm","87.095301mm","155.866117mm","87.095301mm","153.815507mm","89.145911mm","B","315","180pF 2KV",
"C72","C_1812_HandSoldering","154.805455mm","71.076272mm","154.805455mm","71.076272mm","156.856065mm","69.025662mm","B","135","100pF 2KV",
"C72","C_1812_HandSoldering","158.694544mm","89.923728mm","158.694544mm","89.923728mm","156.643934mm","91.974338mm","B","315","100pF 2KV",
"C73","C_1812_HandSoldering","140.823223mm","60.704951mm","140.823223mm","60.704951mm","142.873833mm","62.755561mm","B","225","330pF 2KV",
"C74","C_1812_HandSoldering","143.65165mm","57.876524mm","143.65165mm","57.876524mm","145.70226mm","59.927134mm","B","225","330pF 2KV",
"C75","C_1812_HandSoldering","146.480078mm","55.048097mm","146.480078mm","55.048097mm","148.530688mm","57.098707mm","B","225","330pF 2KV",
"C76","C_1812_HandSoldering","149.308505mm","52.21967mm","149.308505mm","52.21967mm","151.359115mm","54.27028mm","B","225","180pF 2KV",
"C77","C_1812_HandSoldering","152.136932mm","49.391243mm","152.136932mm","49.391243mm","154.187542mm","51.441853mm","B","225","100pF 2KV",
"C78","C_1812_HandSoldering","187.5mm","21.5mm","187.5mm","21.5mm","189.55061mm","19.44939mm","B","135","180pF 2KV",
"C78","C_1812_HandSoldering","158.5mm","29.5mm","158.5mm","29.5mm","155.6mm","29.5mm","B","0","180pF 2KV",
"C78","C_1812_HandSoldering","164.51866mm","35.25mm","164.51866mm","35.25mm","164.51866mm","38.15mm","B","270","180pF 2KV",
"C79","C_1812_HandSoldering","168.5mm","35.25mm","168.5mm","35.25mm","168.5mm","38.15mm","B","270","100pF 2KV",
"C8","C_1812_HandSoldering","33.662058mm","82.197592mm","33.662058mm","82.197592mm","35.712668mm","80.146982mm","B","135","33pF 3KV",
"C8","C_1812_HandSoldering","14.587942mm","78.552408mm","14.587942mm","78.552408mm","12.537332mm","80.603018mm","B","315","33pF 3KV",
"C80","C_1812_HandSoldering","172.5mm","35.25mm","172.5mm","35.25mm","172.5mm","38.15mm","B","270","100pF 2KV",
"C81","C_1812_HandSoldering","178.625631mm","32.639087mm","178.625631mm","32.639087mm","180.676241mm","34.689697mm","B","225","100pF 2KV",
"C82","C_1812_HandSoldering","181.454058mm","29.81066mm","181.454058mm","29.81066mm","183.504668mm","31.86127mm","B","225","100pF 2KV",
"C83","C_1812_HandSoldering","184.282486mm","26.982233mm","184.282486mm","26.982233mm","186.333096mm","29.032843mm","B","225","100pF 2KV",
"C84","C_1812_HandSoldering","192.788582mm","94.971825mm","192.788582mm","94.971825mm","190.737972mm","92.921215mm","B","45","330pF 2KV",
"C84","C_1812_HandSoldering","188.711418mm","114.028175mm","188.711418mm","114.028175mm","190.762028mm","116.078785mm","B","225","330pF 2KV",
"C85","C_1812_HandSoldering","189.960155mm","97.800253mm","189.960155mm","97.800253mm","187.909545mm","95.749643mm","B","45","330pF 2KV",
"C85","C_1812_HandSoldering","191.539845mm","111.199747mm","191.539845mm","111.199747mm","193.590455mm","113.250357mm","B","225","330pF 2KV",
"C86","C_1812_HandSoldering","187.131728mm","100.62868mm","187.131728mm","100.62868mm","185.081118mm","98.57807mm","B","45","100pF 2KV",
"C86","C_1812_HandSoldering","194.368272mm","108.37132mm","194.368272mm","108.37132mm","196.418882mm","110.42193mm","B","225","100pF 2KV",
"C87","C_1812_HandSoldering","184.303301mm","103.457107mm","184.303301mm","103.457107mm","182.252691mm","101.406497mm","B","45","100pF 2KV",
"C87","C_1812_HandSoldering","197.196699mm","105.542893mm","197.196699mm","105.542893mm","199.247309mm","107.593503mm","B","225","100pF 2KV",
"C88","C_1812_HandSoldering","181.474874mm","106.285534mm","181.474874mm","106.285534mm","179.424264mm","104.234924mm","B","45","100pF 2KV",
"C88","C_1812_HandSoldering","200.025126mm","102.714466mm","200.025126mm","102.714466mm","202.075736mm","104.765076mm","B","225","100pF 2KV",
"C89","C_1812_HandSoldering","195.459262mm","74.545049mm","195.459262mm","74.545049mm","193.408652mm","76.595659mm","B","315","330pF 2KV",
"C9","C_1812_HandSoldering","30.833631mm","79.369165mm","30.833631mm","79.369165mm","32.884241mm","77.318555mm","B","135","33pF 3KV",
"C9","C_1812_HandSoldering","17.416369mm","81.380835mm","17.416369mm","81.380835mm","15.365759mm","83.431445mm","B","315","33pF 3KV",
"C90","C_1812_HandSoldering","198.287689mm","77.373476mm","198.287689mm","77.373476mm","196.237079mm","79.424086mm","B","315","330pF 2KV",
"C91","C_1812_HandSoldering","201.116117mm","80.201903mm","201.116117mm","80.201903mm","199.065507mm","82.252513mm","B","315","330pF 2KV",
"C92","C_1812_HandSoldering","203.944544mm","83.03033mm","203.944544mm","83.03033mm","201.893934mm","85.08094mm","B","315","330pF 2KV",
"C93","C_1812_HandSoldering","206.772971mm","85.858757mm","206.772971mm","85.858757mm","204.722361mm","87.909367mm","B","315","330pF 2KV",
"C94","C_1812_HandSoldering","208.75mm","73.0mm","208.75mm","73.0mm","210.80061mm","70.94939mm","B","135","330pF 2KV",
"C94","C_1812_HandSoldering","205.75mm","70.0mm","205.75mm","70.0mm","207.80061mm","67.94939mm","B","135","330pF 2KV",
"C94","C_1812_HandSoldering","202.75mm","67.0mm","202.75mm","67.0mm","204.80061mm","64.94939mm","B","135","330pF 2KV",
"C95","C_1812_HandSoldering","188.804564mm","57.856602mm","188.804564mm","57.856602mm","190.855174mm","59.907212mm","B","225","330pF 2KV",
"C96","C_1812_HandSoldering","191.632991mm","55.028175mm","191.632991mm","55.028175mm","193.683601mm","57.078785mm","B","225","330pF 2KV",
"C97","C_1812_HandSoldering","194.461418mm","52.199747mm","194.461418mm","52.199747mm","196.512028mm","54.250357mm","B","225","330pF 2KV",
"C98","C_1812_HandSoldering","197.289845mm","49.37132mm","197.289845mm","49.37132mm","199.340455mm","51.42193mm","B","225","330pF 2KV",
"C99","C_1812_HandSoldering","200.118272mm","46.542893mm","200.118272mm","46.542893mm","202.168882mm","48.593503mm","B","225","330pF 2KV",
"D1","SOD-123","31.457017mm","8.792983mm","31.457017mm","8.792983mm","32.5mm","7.75mm","B","315","SD103",
"D2","SOD-123","39.25mm","138.75mm","39.25mm","138.75mm","38.207017mm","139.792983mm","B","135","SD103",
"D3","SOD-123","76.457017mm","9.042983mm","76.457017mm","9.042983mm","77.5mm","8.0mm","B","315","SD103",
"D4","SOD-123","84.0mm","138.75mm","84.0mm","138.75mm","82.957017mm","139.792983mm","B","135","SD103",
"D5","SOD-123","119.207017mm","8.542983mm","119.207017mm","8.542983mm","120.25mm","7.5mm","B","315","SD103",
"D6","SOD-123","163.0mm","8.5mm","163.0mm","8.5mm","164.042983mm","7.457017mm","B","315","SD103",
"D7","SOD-123","128.25mm","139.0mm","128.25mm","139.0mm","127.207017mm","140.042983mm","B","135","SD103",
"D8","SOD-123","172.75mm","139.0mm","172.75mm","139.0mm","171.707017mm","140.042983mm","B","135","SD103",
"U1","SOIC-16_150MIL","194.0mm","139.75mm","194.0mm","139.75mm","189.555mm","142.35mm","B","0","ULN2003A",
"Through Hole Items ",
"C1","CP_Radial_D5.0mm_P2.50mm","205.0mm","140.5mm","205.0mm","140.5mm","205.0mm","140.5mm","T","270","10uF",
"J1","RF_conn_pad_short","11.75mm","12.5mm","11.75mm","12.5mm","11.75mm","12.5mm","T","45","RF out",
"J2","RF_conn_pad_short","16.0mm","139.0mm","16.0mm","139.0mm","16.0mm","139.0mm","T","315","RF in",
"J3","JST_XH_B08B-XH-A_08x2.50mm_Straight","202.75mm","145.75mm","202.75mm","145.75mm","202.75mm","145.75mm","T","180","Conn_01x08",
"JP1","Core_T106","9.75mm","122.5mm","9.75mm","122.5mm","16.821068mm","129.571068mm","T","225","Bridge",
"JP2","Core_T106","54.25mm","122.25mm","54.25mm","122.25mm","47.178932mm","115.178932mm","T","45","Bridge",
"JP3","Core_T106","98.75mm","122.5mm","98.75mm","122.5mm","91.678932mm","115.428932mm","T","45","Bridge",
