"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"R71","R_1206","38.75mm","82.25mm","38.75mm","82.25mm","40.2mm","82.25mm","B","180","0",
"R72","R_0805","108.5mm","93.5mm","108.5mm","93.5mm","109.45mm","93.5mm","B","180","1K",
"R73","R_0805","109.0mm","60.25mm","109.0mm","60.25mm","108.05mm","60.25mm","B","0","2.2K",
"R74","R_0805","107.5mm","54.75mm","107.5mm","54.75mm","106.55mm","54.75mm","B","0","2.2K",
"R75","R_0805","93.5mm","73.75mm","93.5mm","73.75mm","93.5mm","72.8mm","B","90","2.2K",
"R76","R_0805","99.0mm","73.75mm","99.0mm","73.75mm","99.0mm","72.8mm","B","90","2.2K",
"R77","R_0805","101.5mm","45.25mm","101.5mm","45.25mm","100.55mm","45.25mm","B","0","2.2K",
"R78","R_0805","102.0mm","34.25mm","102.0mm","34.25mm","101.05mm","34.25mm","B","0","2.2K",
"R79","R_0805","125.5mm","8.75mm","125.5mm","8.75mm","124.55mm","8.75mm","B","0","2.2K",
"R8","R_0805","113.5mm","8.5mm","113.5mm","8.5mm","114.45mm","8.5mm","B","180","4.7K",
"R80","R_0805","40.25mm","95.0mm","40.25mm","95.0mm","40.25mm","95.95mm","B","270","2.2K",
"R81","R_0805","65.598mm","8.24mm","65.598mm","8.24mm","66.548mm","8.24mm","B","180","R_Small",
"R82","R_0805","92.8mm","50.2mm","92.8mm","50.2mm","93.75mm","50.2mm","B","180","10K",
"R83","R_0805","92.825mm","52.233mm","92.825mm","52.233mm","91.875mm","52.233mm","B","0","10K",
"R84","R_0805","44.0mm","33.5mm","44.0mm","33.5mm","43.328249mm","34.171751mm","B","315","4.7K",
"R85","R_0805","8.75mm","12.0mm","8.75mm","12.0mm","8.75mm","11.05mm","B","90","100",
"R86","R_0805","16.75mm","12.0mm","16.75mm","12.0mm","16.75mm","11.05mm","B","90","100",
"R87","R_0805","13.0mm","3.75mm","13.0mm","3.75mm","12.05mm","3.75mm","B","0","120",
"R9","R_0805","110.0mm","8.5mm","110.0mm","8.5mm","109.05mm","8.5mm","B","0","4.7K",
"U1","SOIC-14_150MIL","96.5mm","16.5mm","96.5mm","16.5mm","92.69mm","19.1mm","B","0","74HC04",
"U10","SOT-23-5","61.35mm","18.366mm","61.35mm","18.366mm","62.3mm","16.966mm","B","270","LMV321",
"U12","TSOT-23-8_HandSoldering","32.0mm","87.25mm","32.0mm","87.25mm","32.97mm","85.54mm","B","90","SY8303",
"U13","SOT-223","41.75mm","88.5mm","41.75mm","88.5mm","44.05mm","85.5mm","B","270","AZ1117-3.3",
"U14","SOT-223","9.5mm","85.5mm","9.5mm","85.5mm","6.5mm","83.2mm","B","180","AZ1117-3.3",
"U15","SOT-23-5","106.5mm","90.0mm","106.5mm","90.0mm","107.9mm","90.95mm","B","0","LMV321",
"U16","SOIC-16_150MIL","43.899999mm","16.7mm","43.899999mm","16.7mm","39.454999mm","19.3mm","B","0","MAX3232",
"U17","SOIC-8_150MIL","12.975mm","8.365mm","12.975mm","8.365mm","11.07mm","10.965mm","B","0","TJA1042T",
"U2","LQFP-100_14X14X05P","36.5mm","50.0mm","36.5mm","50.0mm","46.081297mm","48.903984mm","B","225","STM32F407VETx",
"U3","SOIC-14_150MIL","113.75mm","81.5mm","113.75mm","81.5mm","111.15mm","77.69mm","B","90","LMV324",
"U4","SOIC-14_150MIL","113.5mm","68.0mm","113.5mm","68.0mm","110.9mm","64.19mm","B","90","LMV324",
"U5","SOIC-8_150MIL","112.5mm","40.5mm","112.5mm","40.5mm","110.595mm","43.1mm","B","0","LMV358",
"U6","SOIC-14_150MIL","113.4mm","28.8mm","113.4mm","28.8mm","110.8mm","24.99mm","B","90","LMV324",
"U7","SOIC-14_150MIL","113.5mm","52.25mm","113.5mm","52.25mm","110.9mm","48.44mm","B","90","LMV324",
"U8","SOT-23-5","119.4mm","14.3mm","119.4mm","14.3mm","120.8mm","15.25mm","B","0","LMV321",
"U9","SOIC-8_150MIL","100.25mm","89.5mm","100.25mm","89.5mm","102.155mm","86.9mm","B","180","ICL7660",
"Y1","Crystal_SMD_3225-4pin_3.2x2.5mm","46.727mm","40.711mm","46.727mm","40.711mm","48.105858mm","40.887777mm","B","225","12MHz",
"Through Hole Items ",
"J3","Socket_Strip_Straight_2x20_Pitch2.54mm","12.27mm","74.125mm","12.27mm","74.125mm","12.27mm","74.125mm","T","0","Conn_02x20_Odd_Even",
"SC1","M3_Screwhole","4.0mm","96.0mm","4.0mm","96.0mm","6.05681mm","97.1875mm","T","0","GND",
"SC2","M3_Screwhole","126.0mm","96.0mm","126.0mm","96.0mm","128.05681mm","97.1875mm","T","0","GND",
"SC3","M3_Screwhole","4.0mm","4.0mm","4.0mm","4.0mm","6.05681mm","5.1875mm","T","0","GND",
"SC4","M3_Screwhole","126.0mm","4.0mm","126.0mm","4.0mm","128.05681mm","5.1875mm","T","0","GND",
"SC5","M3_Screwhole","3.775mm","22.5mm","3.775mm","22.5mm","5.83181mm","23.6875mm","T","0","GND",
"SC6","M3_Screwhole","3.775mm","77.5mm","3.775mm","77.5mm","5.83181mm","78.6875mm","T","0","GND",
"SC7","M3_Screwhole","105.975mm","77.5mm","105.975mm","77.5mm","108.03181mm","78.6875mm","T","0","GND",
"SC8","M3_Screwhole","105.975mm","22.5mm","105.975mm","22.5mm","108.03181mm","23.6875mm","T","0","GND",
"BZ1","Buzzer_12x9.5RM7.6","84.0mm","66.5mm","84.0mm","66.5mm","84.0mm","66.5mm","B","270","Buzzer",
"C42","CP_Radial_D5.0mm_P2.50mm","25.5mm","92.5mm","25.5mm","92.5mm","25.5mm","92.5mm","B","90","10u",
"C46","CP_Radial_D5.0mm_P2.50mm","52.5mm","90.25mm","52.5mm","90.25mm","52.5mm","90.25mm","B","270","25V 47uF",
"C51","CP_Radial_D5.0mm_P2.50mm","67.0mm","90.25mm","67.0mm","90.25mm","67.0mm","90.25mm","B","270","25V 47uF",
"J1","JST_XH_B08B-XH-A_08x2.50mm_Straight","77.5mm","3.0mm","77.5mm","3.0mm","77.5mm","3.0mm","B","0","Conn_01x08",
"J10","JST_XH_B02B-XH-A_02x2.50mm_Straight","125.0mm","16.5mm","125.0mm","16.5mm","125.0mm","16.5mm","B","270","Conn_01x02",
"J11","JST_XH_B02B-XH-A_02x2.50mm_Straight","57.5mm","3.0mm","57.5mm","3.0mm","57.5mm","3.0mm","B","0","Conn_01x02",
"J12","JST_XH_B02B-XH-A_02x2.50mm_Straight","67.25mm","3.0mm","67.25mm","3.0mm","67.25mm","3.0mm","B","0","Conn_01x02",
"J13","Pin_Header_Straight_1x02_Pitch2.54mm","95.75mm","96.75mm","95.75mm","96.75mm","95.75mm","96.75mm","B","270","Conn_01x02",
"J14","Pin_Header_Straight_1x02_Pitch2.54mm","88.75mm","96.75mm","88.75mm","96.75mm","88.75mm","96.75mm","B","270","Conn_01x02",
