"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"U1","SOIC-8_150MIL","54.2mm","19.6mm","54.2mm","19.6mm","52.295mm","17.0mm","T","0","ICL7660",
"U2","SOT-23-5","51.2mm","31.0mm","51.2mm","31.0mm","52.15mm","32.4mm","T","90","LMV321",
"U3","SOT-23(SOT-23-3)","76.12mm","30.25199mm","76.12mm","30.25199mm","74.87mm","31.20199mm","T","180","TL431",
"Through Hole Items ",
"D2","LED_D3.0mm_Horizontal_O6.35mm_Z10.0mm","34.5mm","8.0mm","34.5mm","8.0mm","34.5mm","8.0mm","T","0","LED",
"D3","LED_D3.0mm_Horizontal_O6.35mm_Z10.0mm","51.98mm","8.0mm","51.98mm","8.0mm","51.98mm","8.0mm","T","0","LED",
"D4","LED_D3.0mm_Horizontal_O6.35mm_Z10.0mm","71.4mm","8.0mm","71.4mm","8.0mm","71.4mm","8.0mm","T","0","LED",
"J1","PhoenixContact_MC-G_04x3.81mm_Angled","21.5mm","41.5mm","21.5mm","41.5mm","21.5mm","41.5mm","T","180","RS232 CAT",
"J10","PJ325","95.5mm","0.0mm","95.5mm","0.0mm","95.5mm","1.2mm","T","180","AudioJack_PJ325",
"J2","DR9","16.0mm","0.0mm","16.0mm","0.0mm","10.46mm","10.92mm","T","180","DR9_Dual_Male",
"J3","PhoenixContact_MC-G_02x3.81mm_Angled","37.75mm","41.5mm","37.75mm","41.5mm","37.75mm","41.5mm","T","180","CIV out",
"J4","PJ325","44.5mm","0.0mm","44.5mm","0.0mm","44.5mm","1.2mm","T","180","AudioJack_PJ325",
"J5","PhoenixContact_MC-G_02x3.81mm_Angled","54.0mm","41.5mm","54.0mm","41.5mm","54.0mm","41.5mm","T","180","RF sense",
"J6","PJ325","62.0mm","0.0mm","62.0mm","0.0mm","62.0mm","1.2mm","T","180","AudioJack_PJ325",
"J7","PhoenixContact_MC-G_02x3.81mm_Angled","70.25mm","41.5mm","70.25mm","41.5mm","70.25mm","41.5mm","T","180","ALC trig",
"J8","PJ325","81.5mm","0.0mm","81.5mm","0.0mm","81.5mm","1.2mm","T","180","AudioJack_PJ325",
"J9","PhoenixContact_MC-G_02x3.81mm_Angled","86.5mm","41.5mm","86.5mm","41.5mm","86.5mm","41.5mm","T","180","+5V",
"RV1","Potentiometer_Trimmer_Bourns_3296W","63.0mm","33.0mm","63.0mm","33.0mm","63.0mm","33.0mm","T","90","10K",
"SC1","M3_Screwhole","95.0mm","30.0mm","95.0mm","30.0mm","97.05681mm","31.1875mm","T","0","Conn_01x01",
"SC2","M3_Screwhole","5.0mm","30.0mm","5.0mm","30.0mm","7.05681mm","31.1875mm","T","0","Conn_01x01",
