"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"D1","SMAF_S4","10.2mm","3.9mm","10.2mm","3.9mm","10.2mm","1.9mm","T","270","1N4007",
"J1","RF_strip","8.0mm","23.0mm","8.0mm","23.0mm","8.0mm","23.0mm","T","0","Conn_Coaxial",
"J2","RF_strip","29.5mm","18.0mm","29.5mm","18.0mm","29.5mm","18.0mm","T","0","Conn_Coaxial",
"J3","RF_strip","29.5mm","28.0mm","29.5mm","28.0mm","29.5mm","28.0mm","T","0","Conn_Coaxial",
"Through Hole Items ",
"J4","JST_XH_B02B-XH-A_02x2.50mm_Straight","3.1mm","4.1mm","3.1mm","4.1mm","3.1mm","4.1mm","T","0","Conn_01x02",
"K1","G2RL-1-E","15.0mm","3.0mm","15.0mm","3.0mm","15.0mm","3.0mm","T","90","G2RL-1-E",
"SC1","M3_Screwhole","7.0mm","11.0mm","7.0mm","11.0mm","9.05681mm","12.1875mm","T","0","Conn_01x01",
"SC2","M3_Screwhole","30.5mm","11.0mm","30.5mm","11.0mm","32.55681mm","12.1875mm","T","0","Conn_01x01",
